"case_id","n","k","rep","official_set","official_value","enumerated_set","enumerated_value","iterations"
1,8,1,1,"7",-0.295838306695956,"7",-0.295838306695956,1
2,8,1,2,"2",0.36720519618843,"2",0.36720519618843,1
3,8,1,3,"3",-1.5735448843338,"3",-1.5735448843338,1
4,8,1,4,"6",-0.0248078213810847,"6",-0.0248078213810847,1
5,8,2,1,"3;8",-2.3139031339566,"3;8",-2.3139031339566,3
6,8,2,2,"3;5",-1.17358570785084,"3;5",-1.17358570785084,2
7,8,2,3,"6;7",1.38139158822801,"6;7",1.38139158822801,2
8,8,2,4,"3;7",0.242308699612611,"3;7",0.242308699612611,2
9,8,3,1,"3;6;7",-5.47523643733882,"3;6;7",-5.47523643733882,2
10,8,3,2,"1;2;3",-0.300266838777051,"1;2;3",-0.300266838777051,2
11,8,3,3,"1;3;4",-0.94386636860544,"1;3;4",-0.94386636860544,2
12,8,3,4,"3;4;8",0.475707754130271,"3;4;8",0.475707754130271,3
13,8,4,1,"1;4;7;8",0.226994755703307,"1;4;7;8",0.226994755703307,2
14,8,4,2,"1;2;4;6",-1.02434970098322,"1;2;4;6",-1.02434970098322,3
15,8,4,3,"1;2;3;4",-1.75219019548266,"1;2;3;4",-1.75219019548266,3
16,8,4,4,"1;6;7;8",0.299345754567064,"1;6;7;8",0.299345754567064,2
17,8,5,1,"1;2;3;4;8",-1.83206614404423,"1;2;3;4;8",-1.83206614404423,3
18,8,5,2,"1;2;3;5;7",-13.3473705778556,"1;2;3;5;7",-13.3473705778556,2
19,8,5,3,"1;2;6;7;8",-2.56226073825172,"1;2;6;7;8",-2.56226073825172,3
20,8,5,4,"2;3;4;5;8",-14.7674849989751,"2;3;4;5;8",-14.7674849989751,3
21,10,1,1,"8",0.283924364027105,"8",0.283924364027105,1
22,10,1,2,"2",0.335193693318954,"2",0.335193693318954,1
23,10,1,3,"6",-0.591222573403559,"6",-0.591222573403559,1
24,10,1,4,"7",0.436367775749736,"7",0.436367775749736,1
25,10,2,1,"1;7",-0.356573678044198,"1;7",-0.356573678044198,2
26,10,2,2,"3;7",0.0683509283984749,"3;7",0.0683509283984749,2
27,10,2,3,"1;5",-0.600149850363431,"1;5",-0.600149850363431,2
28,10,2,4,"5;9",-1.1745696543772,"5;9",-1.1745696543772,3
29,10,3,1,"2;4;6",-2.21183631656054,"2;4;6",-2.21183631656054,3
30,10,3,2,"4;8;9",-1.40839036268043,"4;8;9",-1.40839036268043,2
31,10,3,3,"5;8;10",-0.627443494098385,"5;8;10",-0.627443494098385,2
32,10,3,4,"1;6;10",-0.38439131393319,"1;6;10",-0.38439131393319,3
33,10,4,1,"1;7;8;9",-0.992236557947031,"1;7;8;9",-0.992236557947031,3
34,10,4,2,"2;3;6;10",0.222712488708771,"2;3;6;10",0.222712488708771,2
35,10,4,3,"2;5;7;9",-0.495014013341702,"2;5;7;9",-0.495014013341702,2
36,10,4,4,"1;3;6;7",-1.41307648524779,"1;3;6;7",-1.41307648524779,3
37,10,5,1,"1;4;5;6;9",-1.68834459604748,"1;4;5;6;9",-1.68834459604748,3
38,10,5,2,"1;6;7;8;9",-1.79542742770079,"1;6;7;8;9",-1.79542742770079,4
39,10,5,3,"2;3;4;8;9",-0.48562450009041,"2;3;4;8;9",-0.48562450009041,4
40,10,5,4,"1;2;4;7;10",-1.25036101846724,"1;2;4;7;10",-1.25036101846724,2
41,12,1,1,"8",-0.620310999092765,"8",-0.620310999092765,1
42,12,1,2,"6",0.270251122189728,"6",0.270251122189728,1
43,12,1,3,"9",0.688874935639595,"9",0.688874935639595,1
44,12,1,4,"12",-0.335537678453738,"12",-0.335537678453738,1
45,12,2,1,"1;4",0.261569389687043,"1;4",0.261569389687043,2
46,12,2,2,"1;8",0.00752488332514745,"1;8",0.00752488332514745,2
47,12,2,3,"5;8",0.389106257919973,"5;8",0.389106257919973,2
48,12,2,4,"8;12",0.0905862823632211,"8;12",0.0905862823632211,2
49,12,3,1,"5;8;9",-0.0199401658365017,"5;8;9",-0.0199401658365017,2
50,12,3,2,"1;8;11",-0.256908366482328,"1;8;11",-0.256908366482328,3
51,12,3,3,"3;10;12",0.322834872431405,"3;10;12",0.322834872431405,3
52,12,3,4,"2;5;9",-1.64600535645425,"2;5;9",-1.64600535645425,2
53,12,4,1,"1;5;6;7",-0.413551560443423,"1;5;6;7",-0.413551560443423,2
54,12,4,2,"1;5;11;12",-1.13093942836369,"1;5;11;12",-1.13093942836369,3
55,12,4,3,"3;5;11;12",0.750727627638313,"3;5;11;12",0.750727627638313,3
56,12,4,4,"1;2;7;12",-0.0496675023965253,"1;2;7;12",-0.0496675023965253,3
57,12,5,1,"3;6;8;9;12",-0.771441138636109,"3;6;8;9;12",-0.771441138636109,2
58,12,5,2,"2;4;5;6;10",-1.18567650664492,"2;4;5;6;10",-1.18567650664492,3
59,12,5,3,"3;5;7;10;12",-0.824961414826795,"3;5;7;10;12",-0.824961414826795,3
60,12,5,4,"2;3;4;8;12",-1.16751624880525,"2;3;4;8;12",-1.16751624880525,3
61,14,1,1,"11",-0.273283210340049,"11",-0.273283210340049,1
62,14,1,2,"4",-0.198527714609305,"4",-0.198527714609305,1
63,14,1,3,"14",-0.244484567973762,"14",-0.244484567973762,1
64,14,1,4,"1",0.1579854001628,"1",0.1579854001628,1
65,14,2,1,"4;14",-0.211188615998071,"4;14",-0.211188615998071,2
66,14,2,2,"7;11",-0.109054081483452,"7;11",-0.109054081483452,2
67,14,2,3,"7;9",-0.0184809750915509,"7;9",-0.0184809750915509,2
68,14,2,4,"9;13",-0.0346535489606581,"9;13",-0.0346535489606581,2
69,14,3,1,"2;5;11",-1.94348764013311,"2;5;11",-1.94348764013311,2
70,14,3,2,"4;7;11",-0.0377504081513814,"4;7;11",-0.0377504081513814,2
71,14,3,3,"1;4;13",-0.356188528871143,"1;4;13",-0.356188528871143,3
72,14,3,4,"5;11;13",-0.371978805472319,"5;11;13",-0.371978805472319,3
73,14,4,1,"3;5;12;13",-0.432821413055971,"3;5;12;13",-0.432821413055971,2
74,14,4,2,"4;10;11;12",-1.69835960641313,"4;10;11;12",-1.69835960641313,2
75,14,4,3,"1;5;10;14",-0.885252430611931,"1;5;10;14",-0.885252430611931,3
76,14,4,4,"5;6;10;12",-1.43067708031373,"5;6;10;12",-1.43067708031373,2
77,14,5,1,"1;9;12;13;14",-1.39699884384454,"1;9;12;13;14",-1.39699884384454,3
78,14,5,2,"4;5;10;11;13",0.130964092997606,"4;5;10;11;13",0.130964092997606,3
79,14,5,3,"1;3;4;5;10",-0.0819600020465656,"1;3;4;5;10",-0.0819600020465656,3
80,14,5,4,"1;4;6;11;14",-2.2371177026331,"1;4;6;11;14",-2.2371177026331,2
81,16,1,1,"4",-0.473619646790254,"4",-0.473619646790254,1
82,16,1,2,"13",-0.20641266837785,"13",-0.20641266837785,1
83,16,1,3,"9",-0.45299502723571,"9",-0.45299502723571,1
84,16,1,4,"8",-0.508222186729884,"8",-0.508222186729884,1
85,16,2,1,"2;15",-0.837523162765132,"2;15",-0.837523162765132,3
86,16,2,2,"6;16",-0.0656999238229008,"6;16",-0.0656999238229008,2
87,16,2,3,"7;8",-0.313167778296954,"7;8",-0.313167778296954,3
88,16,2,4,"2;3",-0.135827159024685,"2;3",-0.135827159024685,2
89,16,3,1,"2;3;12",-0.622079431623801,"2;3;12",-0.622079431623801,2
90,16,3,2,"7;13;14",0.231911962583107,"7;13;14",0.231911962583107,3
91,16,3,3,"3;11;13",0.205751486638437,"3;11;13",0.205751486638437,2
92,16,3,4,"2;10;12",-0.800726915506496,"2;10;12",-0.800726915506496,3
93,16,4,1,"5;8;9;13",-0.625948991360736,"5;8;9;13",-0.625948991360736,2
94,16,4,2,"5;7;12;14",-0.241118294467479,"5;7;12;14",-0.241118294467479,2
95,16,4,3,"5;6;9;12",-0.867699840615118,"5;6;9;12",-0.867699840615118,3
96,16,4,4,"5;6;10;13",-0.758610097960487,"5;6;10;13",-0.758610097960487,2
97,16,5,1,"5;6;7;11;13",-1.02061232687404,"5;6;7;11;13",-1.02061232687404,3
98,16,5,2,"5;8;14;15;16",0.436377020597581,"5;8;14;15;16",0.436377020597581,3
99,16,5,3,"2;4;5;8;13",-0.256818088156832,"2;4;5;8;13",-0.256818088156832,2
100,16,5,4,"2;3;5;6;8",-1.07152833621473,"2;3;5;6;8",-1.07152833621473,3
101,18,1,1,"17",0.0582242294386476,"17",0.0582242294386476,1
102,18,1,2,"14",0.843142751828911,"14",0.843142751828911,1
103,18,1,3,"11",0.60505280602101,"11",0.60505280602101,1
104,18,1,4,"17",-0.13047198157509,"17",-0.13047198157509,1
105,18,2,1,"14;15",0.303399241092965,"14;15",0.303399241092965,2
106,18,2,2,"10;14",0.0116177660225347,"10;14",0.0116177660225347,2
107,18,2,3,"11;15",-0.17992208014322,"11;15",-0.17992208014322,2
108,18,2,4,"2;4",0.109190020237629,"2;4",0.109190020237629,2
109,18,3,1,"1;8;9",0.118971115888431,"1;8;9",0.118971115888431,2
110,18,3,2,"6;8;12",-1.99532801609295,"6;8;12",-1.99532801609295,2
111,18,3,3,"8;14;17",-1.21539402392653,"8;14;17",-1.21539402392653,3
112,18,3,4,"9;16;18",-0.526334545677846,"9;16;18",-0.526334545677846,2
113,18,4,1,"12;15;16;17",-0.195451191492967,"12;15;16;17",-0.195451191492967,2
114,18,4,2,"1;4;8;18",-0.139994525287692,"1;4;8;18",-0.139994525287692,2
115,18,4,3,"2;8;14;18",-1.04673821923169,"2;8;14;18",-1.04673821923169,2
116,18,4,4,"7;15;16;18",-0.335971134433829,"7;15;16;18",-0.335971134433829,3
117,18,5,1,"5;6;7;17;18",-0.360368639209768,"5;6;7;17;18",-0.360368639209768,2
118,18,5,2,"2;4;7;13;16",-0.434783859100958,"2;4;7;13;16",-0.434783859100958,3
119,18,5,3,"1;4;10;11;13",-1.03574410269571,"1;4;10;11;13",-1.03574410269571,3
120,18,5,4,"6;11;12;13;15",-1.15757370523076,"6;11;12;13;15",-1.15757370523076,2
